message_id,action,message_type,reason,confidence,evidence_message_ids
msg_067,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_039,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_082,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,none
msg_066,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,none
msg_049,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0154
msg_015,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.87,none
msg_051,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0257
msg_097,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,none
msg_089,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,none
msg_053,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,none
msg_059,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_024,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0257
msg_072,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_036,digest,personal,The message is safe casual chat with no urgent action required.,0.82,message_0283
msg_076,digest,personal,The message is safe casual chat with no urgent action required.,0.82,message_0208
msg_055,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_102,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,message_0371;message_0230
msg_080,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_093,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,none
msg_034,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,none
msg_035,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.84,message_0281
msg_101,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,message_0370;message_0229
msg_041,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.84,none
msg_011,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,none
msg_110,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.87,message_0238
msg_095,mute,scam,This is the first message from the sender and it asks for sensitive verification or payment.,0.87,none
msg_074,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,none
msg_073,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,none
msg_054,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_068,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
msg_100,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.85,message_0362
msg_062,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0043
msg_096,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.8,none
msg_043,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,none
msg_077,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.87,none
msg_081,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,none
msg_025,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0239;message_0004
msg_084,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.84,none
msg_022,digest,personal,The message is safe casual chat with no urgent action required.,0.8,none
